m,n,q,M0,M1
20,12,23,9972,9990
10,12,23,9984,9990
40,12,23,9978,9988
30,12,23,9984,9981
50,12,23,9973,9989
70,12,23,9984,9991
60,12,23,9981,9990
80,12,23,9980,9989
90,12,23,9979,9990
100,12,23,9981,9990
200,12,23,9977,9992
300,12,23,9979,9991
400,12,23,9978,9995
500,12,23,9982,9988
600,12,23,9975,9986
700,12,23,9979,9994
800,12,23,9976,9990
900,12,23,9973,9986
1000,12,23,9986,9983
2000,12,23,9985,9986
3000,12,23,9975,9995
4000,12,23,9981,9990
5000,12,23,9985,9991
6000,12,23,9979,9989
7000,12,23,9981,9986
8000,12,23,9979,9993
9000,12,23,9980,9989
10000,12,23,9984,9988
